Agency County,Agency Name,Type of Tax/Debt,Amount of Bond/Tax,Purpose,Measure,% Yes,% No,Result (Pass/Fail),Threshold,Election Year,Election Type,Election Date
Multiple,Paso Robles Joint Unified School District,General Obligation Bond,"$95,000,000 ",K-12 School Facility,M,57.57,42.43,Pass,55%,2016,General,11/8/2016 0:00
San Bernardino,Chino Valley Unified School District,General Obligation Bond,"$750,000,000 ",K-12 School Facility,G,55.99,44.01,Pass,55%,2016,General,11/8/2016 0:00
Alameda,Alameda Unified School District,PLF Debt,"Parcel Tax: Continue the district's parcel tax at 32 cents/building sq. ft. (NTE $7,999 per parcel).",K-12 School Facility,B1,74.25,25.75,Pass,two-thirds,2016,General,11/8/2016 0:00
Multiple,Pierce Joint Unified School District,General Obligation Bond,"$15,000,000 ",K-12 School Facility,B,69.21,30.79,Pass,55%,2016,General,11/8/2016 0:00
San Mateo,Jefferson Elementary School District,PLF Debt,Parcel Tax: Levy tax of $68/parcel for school funding.,K-12 School Facility,T,76.56,23.44,Pass,two-thirds,2016,General,11/8/2016 0:00
Colusa,Williams Unified School District,General Obligation Bond,"$11,000,000 ",K-12 School Facility,C,72.2,27.8,Pass,55%,2016,General,11/8/2016 0:00
Kings,Armona Union Elementary School District,General Obligation Bond,"$6,500,000 ",K-12 School Facility,V,71.52,28.48,Pass,55%,2016,General,11/8/2016 0:00
Sutter,Live Oak Unified School District,General Obligation Bond,"$14,000,000 ",K-12 School Facility,X,67.75,32.25,Pass,55%,2016,General,11/8/2016 0:00
Stanislaus,Hughson Unified School District,General Obligation Bond,"$2,200,000 ",K-12 School Facility,R,60.76,39.24,Pass,55%,2016,General,11/8/2016 0:00
Los Angeles,Alhambra Unified School District,General Obligation Bond,"$110,000,000 ",K-12 School Facility,AE,77.07,22.93,Pass,55%,2016,General,11/8/2016 0:00
Los Angeles,Alhambra Unified School District,General Obligation Bond,"$149,000,000 ",K-12 School Facility,HS,76.78,23.22,Pass,55%,2016,General,11/8/2016 0:00
Stanislaus,Turlock Unified School District,General Obligation Bond,"$40,800,000 ",K-12 School Facility,N,69.22,30.78,Pass,55%,2016,General,11/8/2016 0:00
Stanislaus,Turlock Unified School District,General Obligation Bond,"$48,000,000 ",K-12 School Facility,O,67.78,32.22,Pass,55%,2016,General,11/8/2016 0:00
Santa Barbara,Santa Barbara Unified School District,General Obligation Bond,"$135,000,000 ",K-12 School Facility,I2016,69.16,30.84,Pass,55%,2016,General,11/8/2016 0:00
Yuba,Plumas Lake Elementary School District,General Obligation Bond,"$20,000,000 ",K-12 School Facility,D,66.16,33.84,Fail,two-thirds,2016,General,11/8/2016 0:00
Shasta,Cascade Union Elementary School District,General Obligation Bond,"$8,900,000 ",K-12 School Facility,G,64.69,35.31,Pass,55%,2016,General,11/8/2016 0:00
Tehama,Corning Union High School District,General Obligation Bond,"$8,300,000 ",K-12 School Facility,K,64.01,35.99,Pass,55%,2016,General,11/8/2016 0:00
Fresno,Caruthers Unified School District,General Obligation Bond,"$6,000,000 ",K-12 School Facility,V,70.02,29.98,Pass,55%,2016,General,11/8/2016 0:00
Kern,Standard School District,General Obligation Bond,"$33,000,000 ",K-12 School Facility,S,67.26,32.74,Pass,55%,2016,General,11/8/2016 0:00
San Diego,Bonsall Unified School District,General Obligation Bond,"$58,000,000 ",K-12 School Facility,DD,50.63,49.37,Fail,55%,2016,General,11/8/2016 0:00
Tulare,Exeter Unified School District,General Obligation Bond,"$18,000,000 ",K-12 School Facility,K,60.56,39.44,Pass,55%,2016,General,11/8/2016 0:00
Kern,General Shafter School District,General Obligation Bond,"$7,500,000 ",K-12 School Facility,P,61.25,38.75,Pass,55%,2016,General,11/8/2016 0:00
Humboldt,South Bay Union School District (Humboldt County),General Obligation Bond,"$4,000,000 ",K-12 School Facility,N,57.26,42.74,Pass,55%,2016,General,11/8/2016 0:00
Santa Barbara,Guadalupe Union School District,General Obligation Bond,"$5,800,000 ",K-12 School Facility,M2016,80.54,19.46,Pass,55%,2016,General,11/8/2016 0:00
Santa Barbara,Guadalupe Union School District,General Obligation Bond,"$5,650,000 ",K-12 School Facility,N2016,78.95,21.05,Pass,55%,2016,General,11/8/2016 0:00
Humboldt,Mattole Unified School District,General Obligation Bond,"$2,000,000 ",K-12 School Facility,M,77.16,22.84,Pass,55%,2016,General,11/8/2016 0:00
Imperial,Seeley Union Elementary School District,General Obligation Bond,"$6,000,000 ",K-12 School Facility,S,85.06,14.94,Pass,two-thirds,2016,General,11/8/2016 0:00
Monterey,San Ardo Union Elementary School District,General Obligation Bond,"$6,800,000 ",K-12 School Facility,N,74,26,Pass,55%,2016,General,11/8/2016 0:00
San Bernardino,Alta Loma School District,General Obligation Bond,"$58,000,000 ",K-12 School Facility,H,55.03,44.97,Pass,55%,2016,General,11/8/2016 0:00
Santa Barbara,Santa Barbara Unified School District Elementary Schools Facilities Improvement District No. 1,General Obligation Bond,"$58,000,000 ",K-12 School Facility,J2016,71.34,28.66,Pass,55%,2016,General,11/8/2016 0:00
Stanislaus,Hughson Unified School District School Facilities Improvement District No 1,General Obligation Bond,"$3,200,000 ",K-12 School Facility,Q,60.14,39.86,Pass,55%,2016,General,11/8/2016 0:00
Tehama,Evergreen Union School District,General Obligation Bond,"$12,000,000 ",K-12 School Facility,L,56.59,43.41,Pass,55%,2016,General,11/8/2016 0:00
Los Angeles,Local Public Schools Funding Authority SFID No 2016-1,General Obligation Bond,"$110,000,000 ",K-12 School Facility,LP,80.62,19.38,Pass,55%,2016,General,11/8/2016 0:00
Solano,Fairfield-Suisun Unified School District,General Obligation Bond,"$249,000,000 ",K-12 School Facility,J,56.44,43.56,Pass,55%,2016,Primary,6/7/2016 0:00
Alameda,Fremont Unified School District,PLF Debt,Parcel Tax: $73 per parcel per year for 9 years.,K-12 School Facility,I,70.28,29.72,Pass,two-thirds,2016,Primary,6/7/2016 0:00
Orange,Irvine,General Obligation Bond,"$319,000,000 ",K-12 School Facility,E,60.2,39.8,Pass,55%,2016,Primary,6/7/2016 0:00
Alameda,Livermore Valley Joint Unified School District,General Obligation Bond,"$245,000,000 ",K-12 School Facility,J,66.81,33.19,Pass,55%,2016,Primary,6/7/2016 0:00
Alameda,Livermore Valley Joint Unified School District,General Obligation Bond,"$245,000,000 ",K-12 School Facility,J,59.57,40.43,Pass,55%,2016,Primary,6/7/2016 0:00
Placer,Placer Union High School District,General Obligation Bond,"$135,000,000 ",K-12 School Facility,C,50.85,49.15,Fail,55%,2016,Primary,6/7/2016 0:00
Santa Clara,Franklin-McKinley School District,General Obligation Bond,"$67,400,000 ",K-12 School Facility,H,78.18,21.82,Pass,55%,2016,Primary,6/7/2016 0:00
Kern,Beardsley School District,General Obligation Bond,"$12,000,000 ",K-12 School Facility,A,62.66,37.34,Pass,55%,2016,Primary,6/7/2016 0:00
Santa Clara,Alum Rock Union Elementary School District,General Obligation Bond,"$140,000,000 ",K-12 School Facility,I,78.75,21.25,Pass,55%,2016,Primary,6/7/2016 0:00
Alameda,Castro Valley Unified School District,General Obligation Bond,"$123,000,000 ",K-12 School Facility,G,69.15,30.85,Pass,55%,2016,Primary,6/7/2016 0:00
Napa,Napa Valley Unified School District,General Obligation Bond,"$269,000,000 ",K-12 School Facility,H,55.99,44.01,Pass,55%,2016,Primary,6/7/2016 0:00
Mono,Mammoth Unified School District,PLF Debt,Parcel Tax: Extend $59 parcel tax for 5 years.,K-12 School Facility,G,79.65,20.35,Pass,two-thirds,2016,Primary,6/7/2016 0:00
Kings,Pioneer Union Elementary School District,General Obligation Bond,"$7,000,000 ",K-12 School Facility,P,50.92,49.08,Fail,55%,2016,Primary,6/7/2016 0:00
Alameda,Dublin Unified School District,General Obligation Bond,"$283,000,000 ",K-12 School Facility,H,60.19,39.81,Pass,55%,2016,Primary,6/7/2016 0:00
Los Angeles,Montebello Unified School District,General Obligation Bond,"$300,000,000 ",K-12 School Facility,GS,77.99,22.01,Pass,55%,2016,Primary,6/7/2016 0:00
San Mateo,Ravenswood City School District,General Obligation Bond,"$26,000,000 ",K-12 School Facility,H,86.7,13.3,Pass,55%,2016,Primary,6/7/2016 0:00
Alameda,Albany Unified School District,General Obligation Bond,"$70,000,000 ",K-12 School Facility,B,68.96,31.04,Pass,two-thirds,2016,Primary,6/7/2016 0:00
Alameda,Albany Unified School District,General Obligation Bond,"$25,000,000 ",K-12 School Facility,E,73.56,26.44,Pass,55%,2016,Primary,6/7/2016 0:00
Kern,Wasco Union School District,General Obligation Bond,"$9,700,000 ",K-12 School Facility,D,68.6,31.4,Pass,55%,2016,Primary,6/7/2016 0:00
Kern,Wasco Union School District,General Obligation Bond,"$9,400,000 ",K-12 School Facility,E,67.3,32.7,Pass,55%,2016,Primary,6/7/2016 0:00
Multiple,Kings Canyon Joint Unified School District,General Obligation Bond,"$10,000,000 ",K-12 School Facility,A,65.97,34.03,Pass,55%,2016,Primary,6/7/2016 0:00
Contra Costa,Brentwood Union School District,General Obligation Bond,"$158,000,000 ",K-12 School Facility,B,57.33,42.67,Pass,55%,2016,Primary,6/7/2016 0:00
Santa Clara,Gilroy Unified School District,General Obligation Bond,"$170,000,000 ",K-12 School Facility,E,60.86,39.14,Pass,55%,2016,Primary,6/7/2016 0:00
El Dorado,Mother Lode Union Elementary School District,General Obligation Bond,"$7,500,000 ",K-12 School Facility,C,58.1,41.9,Pass,55%,2016,Primary,6/7/2016 0:00
Contra Costa,Walnut Creek School District,General Obligation Bond,"$60,000,000 ",K-12 School Facility,D,73.08,26.92,Pass,55%,2016,Primary,6/7/2016 0:00
Merced,Ballico-Cressey Elementary School District,General Obligation Bond,"$6,500,000 ",K-12 School Facility,U,61.32,38.68,Pass,55%,2016,Primary,6/7/2016 0:00
Santa Clara,Lakeside Joint School District,PLF Debt,Parcel Tax: $820 per parcel for 10 years.,K-12 School Facility,J,65.26,34.74,Fail,two-thirds,2016,Primary,6/7/2016 0:00
Contra Costa,Lafayette Elementary School District,General Obligation Bond,"$70,000,000 ",K-12 School Facility,C,73.84,26.16,Pass,55%,2016,Primary,6/7/2016 0:00
Lake,Kelseyville Unified School District,General Obligation Bond,"$24,000,000 ",K-12 School Facility,U,61.7,38.3,Pass,55%,2016,Primary,6/7/2016 0:00
Imperial,Central Union High School District,General Obligation Bond,"$30,000,000 ",K-12 School Facility,K,70.17,29.83,Pass,55%,2016,Primary,6/7/2016 0:00
Humboldt,Klamath-Trinity Joint Unified School District,General Obligation Bond,"$6,500,000 ",K-12 School Facility,D,61.07,38.93,Pass,55%,2016,Primary,6/7/2016 0:00
Kern,Fairfax Elementary School District,General Obligation Bond,"$19,000,000 ",K-12 School Facility,B,69.91,30.09,Pass,55%,2016,Primary,6/7/2016 0:00
Los Angeles,Hermosa Beach City School District,General Obligation Bond,"$59,000,000 ",K-12 School Facility,S,59.72,40.28,Pass,55%,2016,Primary,6/7/2016 0:00
Multiple,Cutler-Orosi Joint Unified School District,General Obligation Bond,"$16,000,000 ",K-12 School Facility,E,68.94,31.06,Pass,55%,2016,Primary,6/7/2016 0:00
Multiple,Kingsburg Elementary Charter School District,General Obligation Bond,"$10,000,000 ",K-12 School Facility,A,65.97,34.03,Pass,55%,2016,Primary,6/7/2016 0:00
San Joaquin,Lammersville Joint Unified School District,General Obligation Bond,"$56,000,000 ",K-12 School Facility,L,61.85,38.15,Pass,55%,2016,Primary,6/7/2016 0:00
Santa Barbara,Cuyama Joint Unified School District,General Obligation Bond,"$6,000,000 ",K-12 School Facility,Q,74.43,25.57,Pass,55%,2016,Primary,6/7/2016 0:00
Napa,Pope Valley Union Elementary School District,General Obligation Bond,"$4,000,000 ",K-12 School Facility,A,59.11,40.89,Pass,55%,2016,Primary,6/7/2016 0:00
El Dorado,Camino Union School District,General Obligation Bond,"$4,000,000 ",K-12 School Facility,H,71.31,28.69,Pass,55%,2016,Primary,6/7/2016 0:00
Shasta,Black Butte Union Elementary School District,General Obligation Bond,"$4,000,000 ",K-12 School Facility,B,62.46,37.54,Pass,55%,2016,Primary,6/7/2016 0:00
Shasta,Junction Elementary School District,General Obligation Bond,"$3,500,000 ",K-12 School Facility,A,62.69,37.31,Pass,55%,2016,Primary,6/7/2016 0:00
Ventura,Santa Paula Unified School District,General Obligation Bond,"$39,600,000 ",K-12 School Facility,P,60.55,39.45,Pass,55%,2016,Primary,6/7/2016 0:00
Kern,General Shafter School District,General Obligation Bond,"$40,000,000 ",K-12 School Facility,C,54.42,45.58,Fail,55%,2016,Primary,6/7/2016 0:00
Tulare,Burton Elementary School District,General Obligation Bond,"$6,500,000 ",K-12 School Facility,B,51.65,48.35,Fail,55%,2016,Primary,6/7/2016 0:00
Monterey,San Antonio Union School District,General Obligation Bond,"$2,100,000 ",K-12 School Facility,A,63.44,35.56,Pass,55%,2016,Primary,6/7/2016 0:00
Santa Cruz,Santa Cruz City Elementary School District,PLF Debt,Parcel Tax: $105 per parcel for 8 years.,K-12 School Facility,P,76.6,23.4,Pass,two-thirds,2015,Local,11/17/2015 0:00
Santa Cruz,Santa Cruz City High School District,PLF Debt,Parcel Tax: $72 per parcel for 8 years.,K-12 School Facility,O,71.63,28.37,Pass,two-thirds,2015,Local,11/17/2015 0:00
Multiple,Las Virgenes Unified School District,PLF Debt,Parcel Tax: $98 per parcel for 12 years.,K-12 School Facility,E,76.45,23.55,Pass,two-thirds,2015,Local,11/3/2015 0:00
San Mateo,Redwood City School District,General Obligation Bond,"$193,000,000.00 ",K-12 School Facility,T,63.47,36.53,Pass,55%,2015,Local,11/3/2015 0:00
Los Angeles,Walnut Valley Unified School District,General Obligation Bond,"$208,000,000.00 ",K-12 School Facility,O,53.42,46.58,Fail,55%,2015,Local,11/3/2015 0:00
Sonoma,Cotati-Rohnert Park Unified School District,PLF Debt,Parcel Tax: $89 per parcel.,K-12 School Facility,B,68.2,31.8,Pass,two-thirds,2015,Local,11/3/2015 0:00
Los Angeles,Compton Unified School District,General Obligation Bond,"$350,000,000.00 ",K-12 School Facility,S,55.94,44.06,Pass,55%,2015,Local,11/3/2015 0:00
El Dorado,Placerville Union School District,General Obligation Bond,"$4,300,000.00 ",K-12 School Facility,B,55.78,44.22,Pass,55%,2015,Local,11/3/2015 0:00
Los Angeles,San Marino,PLF Debt,Parcel Tax: Continue existing parcel tax for 4 years.,K-12 School Facility,E,76.45,23.55,Pass,two-thirds,2015,Local,11/3/2015 0:00
Marin,San Rafael City Elementary School District,General Obligation Bond,"$108,225,000.00 ",K-12 School Facility,A,67.23,32.77,Pass,55%,2015,Local,11/3/2015 0:00
Marin,San Rafael City High School District,General Obligation Bond,"$160,500,000.00 ",K-12 School Facility,B,68.16,31.84,Pass,55%,2015,Local,11/3/2015 0:00
Santa Clara,Union Elementary School District,PLF Debt,Parcel Tax: $96 per parcel/per year for 10 years.,K-12 School Facility,B,74.77,25.23,Pass,two-thirds,2015,Local,11/3/2015 0:00
San Mateo,San Mateo-Foster City School District,General Obligation Bond,"$148,000,000 ",K-12 School Facility,X,59.07,40.93,Pass,Majority,2015,Local,11/3/2015 0:00
Sonoma,Wilmar Union School District,PLF Debt,Parcel Tax: $50 per parcel.,K-12 School Facility,C,61.9,38.1,Fail,two-thirds,2015,Local,11/3/2015 0:00
Santa Clara,Heber Elementary School District,General Obligation Bond,"$6,000,000.00 ",K-12 School Facility,J,82.29,17.71,Pass,two-thirds,2015,Local,11/3/2015 0:00
Mendocino,Potter Valley Community Unified School District,General Obligation Bond,"$3,100,000.00 ",K-12 School Facility,T,68.01,31.99,Pass,55%,2015,Local,11/3/2015 0:00
Contra Costa,San Ramon Valley Unified School District,PLF Debt,Parcel Tax: Extend parcel tax of $144 per year/ per parcel for nine years.,K-12 School Facility,A,74.98,25.02,Pass,two-thirds,2015,Local,5/5/2015 0:00
Santa Clara,Palo Alto Unified School District,PLF Debt,Parcel Tax: Increase parcel tax by $120 per year/per parcel for six years.,K-12 School Facility,A,77.34,22.66,Pass,two-thirds,2015,Local,5/5/2015 0:00
San Mateo,San Carlos School District,PLF Debt,Parcel Tax: Increase and combine parcel tax to $246.60,K-12 School Facility,P,68.3,31.7,Pass,two-thirds,2015,Local,5/5/2015 0:00
Santa Clara,Campbell Union School District,PLF Debt,Parcel Tax: $49 per year/ per parcel for eight years.,K-12 School Facility,B,67.56,32.44,Pass,two-thirds,2015,Local,5/5/2015 0:00
Marin,Nicasio Elementary School District,PLF Debt,Parcel Tax: Increase parcel tax to $573.46 per year/ per parcel for ten years.,K-12 School Facility,A,70.9,29.1,Pass,two-thirds,2015,Local,5/5/2015 0:00
San Bernardino,Mountain View School Facilities Improvement District No 2,General Obligation Bond,"$171,000,000 ",K-12 School Facility,W,88.89,11.11,Pass,two-thirds,2015,Local,4/14/2015 0:00
Los Angeles,San Marino Unified School District,PLF Debt,Parcel Tax: Extend pre-existing parcel tax for six more years at $330 a year.,K-12 School Facility,R,71.58,28.42,Pass,two-thirds,2013,Local,3/12/2015 0:00
Los Angeles,San Marino Unified School District,PLF Debt,Parcel Tax: Extend $865 per year/per parcel for six years.,K-12 School Facility,E,75.62,24.38,Pass,two-thirds,2015,Local,3/10/2015 0:00
San Bernardino,Central School District,General Obligation Bond,"$35,000,000 ",K-12 School Facility,N,67.1,32.9,Pass,55%,2014,General,11/4/2014 0:00
Ventura,Conejo Valley Unified School District,General Obligation Bond,"$197,000,000 ",K-12 School Facility,I,66,34.1,Pass,55%,2014,General,11/4/2014 0:00
Riverside,Corona-Norco Unified School District,General Obligation Bond,"$396,000,000 ",K-12 School Facility,GG,57,43,Pass,55%,2014,General,11/4/2014 0:00
Riverside,Desert Sands Unified School District,General Obligation Bond,"$225,000,000 ",K-12 School Facility,KK,69.5,30.5,Pass,55%,2014,General,11/4/2014 0:00
Santa Clara,East Side Union High School District,General Obligation Bond,"$113,200,000 ",K-12 School Facility,I,67.9,32.1,Pass,55%,2014,General,11/4/2014 0:00
Sacramento,Folsom-Cordova Unified School District,General Obligation Bond,"$195,000,000 ",K-12 School Facility,G,68.9,31.1,Pass,55%,2014,General,11/4/2014 0:00
Multiple,Fullerton Joint Union High School District,General Obligation Bond,"$175,000,000 ",K-12 School Facility,I,57.7,42.3,Pass,55%,2014,General,11/4/2014 0:00
San Mateo,Jefferson Union High School District,General Obligation Bond,"$133,000,000 ",K-12 School Facility,J,71.2,28.8,Pass,55%,2014,General,11/4/2014 0:00
San Diego,Cajon Valley Union School District,General Obligation Bond,"$20,000,000 ",K-12 School Facility,C,49.1,50.9,Fail,55%,2014,General,11/4/2014 0:00
Santa Clara,Fremont Union High School District,General Obligation Bond,"$295,000,000 ",K-12 School Facility,K,64.8,35.2,Pass,55%,2014,General,11/4/2014 0:00
Santa Clara,Fremont Union High School District,PLF Debt,Parcel Tax: Renews existing parcel tax of $98 for 6 additional years beginning 7/1/2016.,K-12 School Facility,J,71.4,28.6,Pass,two-thirds,2014,General,11/4/2014 0:00
Santa Clara,Oak Grove School District,General Obligation Bond,"$89,800,000 ",K-12 School Facility,P,65.6,34.5,Pass,55%,2014,General,11/4/2014 0:00
Santa Clara,Los Altos School District,General Obligation Bond,"$150,000,000 ",K-12 School Facility,N,57.4,42.6,Pass,55%,2014,General,11/4/2014 0:00
Ventura,Ojai Unified School District,General Obligation Bond,"$35,000,000 ",K-12 School Facility,J,68.2,31.8,Pass,55%,2014,General,11/4/2014 0:00
Orange,Orange Unified School District,General Obligation Bond,"$296,000,000 ",K-12 School Facility,K,54.6,45.4,Fail,55%,2014,General,11/4/2014 0:00
Contra Costa,Pittsburg Unified School District,General Obligation Bond,"$85,000,000 ",K-12 School Facility,N,68.5,31.5,Pass,55%,2014,General,11/4/2014 0:00
Monterey,Salinas Union High School District,General Obligation Bond,"$128,000,000 ",K-12 School Facility,B,60.3,39.7,Pass,55%,2014,General,11/4/2014 0:00
Alameda,Hayward Unified School District,General Obligation Bond,"$229,000,000 ",K-12 School Facility,L,77.4,22.7,Pass,55%,2014,General,11/4/2014 0:00
Multiple,Tahoe-Truckee Unified School District,General Obligation Bond,"$62,000,000 ",K-12 School Facility,E,60.3,39.7,Pass,55%,2014,General,11/4/2014 0:00
Multiple,Tahoe-Truckee Unified School District,General Obligation Bond,"$114,000,000 ",K-12 School Facility,U,55.6,44.5,Pass,55%,2014,General,11/4/2014 0:00
Multiple,Santa Maria-Bonita School District,General Obligation Bond,"$45,000,000 ",K-12 School Facility,T-14,62.1,37.9,Pass,55%,2014,General,11/4/2014 0:00
Los Angeles,Torrance Unified School District,General Obligation Bond,"$144,300,000 ",K-12 School Facility,T,66.7,33.3,Pass,55%,2014,General,11/4/2014 0:00
Los Angeles,Torrance Unified School District,General Obligation Bond,"$50,000,000 ",K-12 School Facility,U,62.1,37.9,Pass,55%,2014,General,11/4/2014 0:00
Fresno,Pine Ridge Elementary School District,General Obligation Bond,"$4,000,000 ",K-12 School Facility,R,50.8,49.2,Fail,55%,2014,General,11/4/2014 0:00
Los Angeles,Rosemead School District,General Obligation Bond,"$30,000,000 ",K-12 School Facility,RS,71.6,28.4,Pass,55%,2014,General,11/4/2014 0:00
Alameda,Oakland Unified School District,PLF Debt,Parcel Tax: Levy annual parcel tax of $120 per unit of property for 10 years.,K-12 School Facility,N,76.6,23.4,Pass,two-thirds,2014,General,11/4/2014 0:00
Riverside,Moreno Valley Unified School District,General Obligation Bond,"$398,000,000 ",K-12 School Facility,M,64.1,35.9,Pass,55%,2014,General,11/4/2014 0:00
Humboldt,Jacoby Creek School District,General Obligation Bond,"$2,500,000 ",K-12 School Facility,Y,54.5,45.5,Fail,55%,2014,General,11/4/2014 0:00
Kern,Arvin Union School District,General Obligation Bond,"$15,000,000 ",K-12 School Facility,E,79.5,20.5,Pass,55%,2014,General,11/4/2014 0:00
Alameda,New Haven Unified School District,General Obligation Bond,"$125,000,000 ",K-12 School Facility,M,68.7,31.3,Pass,55%,2014,General,11/4/2014 0:00
Los Angeles,Saugus Union School District,General Obligation Bond,"$148,000,000 ",K-12 School Facility,EE,58.4,41.6,Pass,55%,2014,General,11/4/2014 0:00
Los Angeles,El Monte City School District,General Obligation Bond,"$78,000,000 ",K-12 School Facility,M,67.1,32.9,Pass,55%,2014,General,11/4/2014 0:00
San Bernardino,Hesperia Unified School District,General Obligation Bond,"$207,000,000 ",K-12 School Facility,M,38.6,61.4,Fail,55%,2014,General,11/4/2014 0:00
Riverside,Murrieta Valley Unified School District,General Obligation Bond,"$98,000,000 ",K-12 School Facility,BB,58,42.1,Pass,55%,2014,General,11/4/2014 0:00
San Luis Obispo,San Luis Coastal Unified School District,General Obligation Bond,"$177,000,000 ",K-12 School Facility,D-14,71.8,28.2,Pass,55%,2014,General,11/4/2014 0:00
Los Angeles,Bassett Unified School District,General Obligation Bond,"$60,000,000 ",K-12 School Facility,V,62.4,37.6,Pass,55%,2014,General,11/4/2014 0:00
Solano,Vacaville Unified School District,General Obligation Bond,"$194,000,000 ",K-12 School Facility,A,62,38.1,Pass,55%,2014,General,11/4/2014 0:00
Los Angeles,Azusa Unified School District,General Obligation Bond,"$92,000,000 ",K-12 School Facility,K,56.2,43.8,Pass,55%,2014,General,11/4/2014 0:00
San Mateo,Burlingame Elementary School District,PLF Debt,Parcel Tax: Consolidate and renew two parcel taxes totaling $256/parcel for 14 years.,K-12 School Facility,L,77.2,22.8,Pass,two-thirds,2014,General,11/4/2014 0:00
San Diego,Ramona Unified School District,General Obligation Bond,"$40,000,000 ",K-12 School Facility,Q,46.7,53.3,Fail,55%,2014,General,11/4/2014 0:00
San Diego,Escondido Union School District,General Obligation Bond,"$182,100,000 ",K-12 School Facility,E,57,43.1,Pass,55%,2014,General,11/4/2014 0:00
Riverside,Jurupa Unified School District,General Obligation Bond,"$144,000,000 ",K-12 School Facility,EE,60.8,39.2,Pass,55%,2014,General,11/4/2014 0:00
Multiple,Woodland Joint Unified School District,General Obligation Bond,"$78,000,000 ",K-12 School Facility,S,43.2,56.9,Fail,55%,2014,General,11/4/2014 0:00
Multiple,Woodland Joint Unified School District,General Obligation Bond,"$19,000,000 ",K-12 School Facility,T,41.6,58.4,Fail,55%,2014,General,11/4/2014 0:00
Santa Clara,Evergreen School District,General Obligation Bond,"$100,000,000 ",K-12 School Facility,M,67.5,32.5,Pass,55%,2014,General,11/4/2014 0:00
Placer,Western Placer Unified School District,General Obligation Bond,"$60,000,000 ",K-12 School Facility,A,61.7,38.3,Pass,55%,2014,General,11/4/2014 0:00
Santa Clara,Santa Clara Unified School District,General Obligation Bond,"$419,000,000 ",K-12 School Facility,H,69.4,30.6,Pass,55%,2014,General,11/4/2014 0:00
Alameda,Albany Unified School District,PLF Debt,Parcel Tax: Levy parcel tax of $278 per residential unit per year for 6 years. This tax would replace an expiring parcel tax of $159 per parcel per year.,K-12 School Facility,LL,84.1,15.9,Pass,two-thirds,2014,General,11/4/2014 0:00
Madera,Madera Unified School District,General Obligation Bond,"$70,000,000 ",K-12 School Facility,G,58.3,41.7,Pass,55%,2014,General,11/4/2014 0:00
San Joaquin,Stockton Unified School District,General Obligation Bond,"$114,000,000 ",K-12 School Facility,E,67.5,32.6,Pass,55%,2014,General,11/4/2014 0:00
Fresno,Mendota Unified School District,General Obligation Bond,"$15,000,000 ",K-12 School Facility,M,80.8,19.2,Pass,55%,2014,General,11/4/2014 0:00
San Benito,Hollister School District,General Obligation Bond,"$28,500,000 ",K-12 School Facility,M,63.4,36.6,Pass,55%,2014,General,11/4/2014 0:00
San Luis Obispo,Atascadero Unified School District,General Obligation Bond,"$58,000,000 ",K-12 School Facility,B-14,61.7,38.3,Pass,55%,2014,General,11/4/2014 0:00
Siskiyou,Yreka,General Obligation Bond,"$8,000,000 ",K-12 School Facility,H,55.3,44.7,Pass,55%,2014,General,11/4/2014 0:00
Sonoma,Oak Grove Union Elementary School District,General Obligation Bond,"$6,000,000 ",K-12 School Facility,K,63.6,36.4,Pass,55%,2014,General,11/4/2014 0:00
Yolo,Washington Unified School District (Yolo County),General Obligation Bond,"$49,800,000 ",K-12 School Facility,V,67.4,32.6,Pass,55%,2014,General,11/4/2014 0:00
Kern,Mojave Unified School District,General Obligation Bond,"$8,100,000 ",K-12 School Facility,C,63.3,36.7,Pass,55%,2014,General,11/4/2014 0:00
Sonoma,Santa Rosa High School District,General Obligation Bond,"$175,000,000 ",K-12 School Facility,I,64,36,Pass,55%,2014,General,11/4/2014 0:00
Santa Clara,Berryessa Union School District,General Obligation Bond,"$77,000,000 ",K-12 School Facility,L,69.3,30.7,Pass,55%,2014,General,11/4/2014 0:00
Multiple,Snowline Joint Unified School District,General Obligation Bond,"$60,000,000 ",K-12 School Facility,L,45.3,54.7,Fail,55%,2014,General,11/4/2014 0:00
Sacramento,Robla School District,General Obligation Bond,"$29,800,000 ",K-12 School Facility,K,72.7,27.3,Pass,55%,2014,General,11/4/2014 0:00
Kern,Southern Kern Unified School District,General Obligation Bond,"$28,400,000 ",K-12 School Facility,D,57.1,42.9,Pass,55%,2014,General,11/4/2014 0:00
Ventura,Rio Elementary School District,General Obligation Bond,"$38,500,000 ",K-12 School Facility,G,70.9,29.1,Pass,55%,2014,General,11/4/2014 0:00
Solano,Vallejo City Unified School District,General Obligation Bond,"$239,000,000 ",K-12 School Facility,E,61.5,38.5,Pass,55%,2014,General,11/4/2014 0:00
San Diego,Lakeside Union Elementary School District,General Obligation Bond,"$31,000,000 ",K-12 School Facility,L,58.6,41.4,Pass,55%,2014,General,11/4/2014 0:00
Tulare,Farmersville Unified School District,General Obligation Bond,"$4,800,000 ",K-12 School Facility,A,66,34,Pass,55%,2014,General,11/4/2014 0:00
Santa Clara,Alum Rock Unified School District,PLF Debt,Parcel Tax: Renew expiring parcel tax of $176.42 for 7 years.,K-12 School Facility,O,75,25,Pass,two-thirds,2014,General,11/4/2014 0:00
